,appName,appPackage,appActivity,noReset
33,a16,com.powerpoint45.lucidbrowser,com.powerpoint45.lucidbrowser.MainActivity,0
32,ExpenseTracker1,com.benoitletondor.easybudgetapp,com.benoitletondor.easybudgetapp.view.WelcomeActivity,0
31,ExpenseTracker2,luankevinferreira.expenses,luankevinferreira.expenses.MainActivity,0
30,ExpenseTracker3,com.kvannli.simonkvannli.dailybudget,com.kvannli.simonkvannli.dailybudget.MainActivity,0
29,ExpenseTracker4,com.blogspot.e_kanivets.moneytracker,com.blogspot.e_kanivets.moneytracker.activity.record.MainActivity,0
28,NoteTaking2,com.moonpi.swiftnotes,com.moonpi.swiftnotes.MainActivity,0
27,NoteTaking3,me.writeily,me.writeily.MainActivity,0
26,NoteTaking4,chan.android.app.pocketnote,chan.android.app.pocketnote.MainActivity,0
25,ShoppingList1,pl.com.andrzejgrzyb.shoppinglist,pl.com.andrzejgrzyb.shoppinglist.MainActivity,0
24,ShoppingList2,br.com.activity,br.com.vansact.MainApp,0
23,ShoppingList3,privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist,privacyfriendlyshoppinglist.secuso.org.privacyfriendlyshoppinglist.ui.tutorial.TutorialActivity,0
22,ShoppingList4,org.openintents.shopping,org.openintents.shopping.ShoppingActivity,0
21,a11,acr.browser.lightning,acr.browser.lightning.MainActivity,0
20,a13,com.stoutner.privacybrowser.standard,com.stoutner.privacybrowser.activities.MainWebViewActivity,0
19,a14,de.baumann.browser,de.baumann.browser.Activity.BrowserActivity,0
18,a15,org.mozilla.focus,org.mozilla.focus.activity.MainActivity,0
17,a21,com.rubenroy.minimaltodo,com.rubenroy.minimaltodo.MainActivity,0
16,a22,douzifly.list,douzifly.list.ui.home.MainActivity,0
15,a23,org.secuso.privacyfriendlytodolist,org.secuso.privacyfriendlytodolist.tutorial.TutorialActivity,0
14,a24,kdk.android.simplydo,kdk.android.simplydo.SimplyDoActivity,0
13,a25,com.woefe.shoppinglist,com.woefe.shoppinglist.activity.MainActivity,0
12,a33,com.rainbowshops,com.rainbowshops.activity.ProfileActivity,1
11,a35,com.yelp.android,com.yelp.android.onboarding.ui.ActivityOnboarding,1
10,a43,ru.mail.mailapp,ru.mail.ui.SlideStackActivity,1
8,a44,com.my.mail,ru.mail.mailapp.SplashScreenActivity,1
5,a45,park.outlook.sign.in.client,ru.mail.ui.SlideStackActivity,1
4,a51,anti.tip,anti.tip.Tip,0
3,a52,com.appsbyvir.tipcalculator,com.appsbyvir.tipcalculator.MainActivity,1
2,a53,com.tleapps.simpletipcalculator,com.tleapps.simpletipcalculator.MainActivity,0
1,a54,com.zaidisoft.teninone,com.zaidisoft.teninone.Calculator,0
0,a55,com.jpstudiosonline.tipcalculator,com.jpstudiosonline.tipcalculator.MainActivity,0
